,0
1786,HOLD
1787,HOLD
1788,HOLD
1789,ORDER_BUY
1790,HOLD
1791,HOLD
1792,HOLD
1793,HOLD
1794,HOLD
1795,HOLD
1796,HOLD
1797,HOLD
1798,HOLD
1799,HOLD
1800,HOLD
1801,HOLD
1802,HOLD
1803,HOLD
1804,HOLD
1805,HOLD
1806,HOLD
1807,HOLD
1808,HOLD
1809,HOLD
1810,HOLD
1811,HOLD
1812,HOLD
1813,HOLD
1814,HOLD
1815,HOLD
1816,HOLD
1817,HOLD
1818,HOLD
1819,HOLD
1820,HOLD
1821,HOLD
1822,HOLD
1823,HOLD
1824,HOLD
1825,HOLD
1826,HOLD
1827,HOLD
1828,HOLD
1829,HOLD
1830,HOLD
1831,HOLD
1832,HOLD
1833,HOLD
1834,HOLD
1835,HOLD
1836,HOLD
1837,HOLD
1838,HOLD
1839,HOLD
1840,HOLD
1841,HOLD
1842,HOLD
1843,HOLD
1844,HOLD
1845,HOLD
1846,HOLD
1847,HOLD
1848,HOLD
1849,HOLD
1850,HOLD
